canonical_smiles,standard_value
Cc1ccc2c(c1)c(C)cc(C)[n+]2[O-],0.5700000000000001
CC(C)C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](C)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H]([C@@H](C)O)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H]([C@@H](C)O)N(C)C1=O,1.2
Cc1cc(-c2cc3[nH]nc(N[C@@H]4CCNC[C@H]4F)c3cc2C2CC2)cc(C)n1,2.7
CCc1nn(C2CCCC2)c2c1CCn1c(-c3cccs3)nnc1-2,3.5
Fc1cc(COc2cc(OC[C@@H]3CCCN3)cnc2Cl)ccn1,1.4
CN1CCN(C(=O)C(C)(C)C)C(c2ccccc2)C1,4.9
CC[C@H](C)[C@@H](C(=O)N1CCC[C@H]1CC(N)=O)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)CCCNS(=O)(=O)c1ccc(Oc2ccccc2)cc1,1.53
Nc1nc(N2CCN(C(=O)c3nc4ccccc4[nH]3)CC2)c2ncsc2n1,2.54
O=C(c1ccco1)N1CCN2C(=O)c3ccncc3C12c1ccc(Cl)cc1,2.8
CO[C@H]1CN(c2nc(C(=O)NCC3(C)OCCO3)c(C(=O)O)s2)CC[C@H]1NC(=O)c1[nH]c(C)c(Cl)c1Cl,1.0
Cc1c(-c2ccc(N3CC[C@H](F)C3)cc2)[nH]c2cc(F)cc(F)c2c1=O,3.6
CCOP(=O)(OCC)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](NC(=N)N)C1,-0.1
CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(CC(N)=O)c3)cc12)c1ccc2c(c1)OCCO2,1.9
Cn1ccc2c(-c3nc4c(-n5cc(N[C@@H]6CCOC[C@@H]6N)cn5)ccnc4[nH]3)cccc21,3.3
CCOC(=O)c1cc(C#N)c(N2CCN(C(=O)NS(=O)(=O)c3ccc(F)cc3)CC2)nc1C(F)(F)F,0.4
O=C(O)COc1ccc(Cl)cc1CN1CCN(S(=O)(=O)Cc2ccccc2)CC1,0.3
CN(C)c1cccnc1/C=N/NC(N)=S,1.21
CN1CC2CCC1([C@H](NC(=O)c1ccnc(Cl)c1Cl)c1ccccc1)CC2,2.2
N#Cc1ccc(O[C@H]2CN(S(=O)(=O)c3ccc(Cl)cn3)C[C@@]2(O)CN)cc1F,2.5
CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)N[C@H]3CCCNC3)cn2)c1,0.35
Cc1[nH]c(C)c(-c2ccc(OCc3ccc(OC(F)(F)F)cc3)nc2)c(=O)c1Cl,2.95
O=c1cc(NCc2ccccc2)nc(N2CCOCC2)[nH]1,1.1
CC1(c2ccc(C#N)cc2)NC(=O)N(CC(=O)c2cccc(C(F)(F)F)c2)C1=O,5.3
C=C(F)C(=O)N1CCN(c2nc(OC[C@@H]3CCCN3C)nc3c2CCN(c2cccc4cccc(Cl)c24)C3)C[C@@H]1CC#N,3.6
Cn1c(=O)n(C2CCOCC2)c2c3cc(-c4cccnc4)ccc3ncc21,2.2
O=[N+]([O-])c1ccccc1O,1.5
CSCC[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)CCCNC(=N)N)C(C)C)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(=O)O)C(C)C,-0.4
C=CC(=O)N1CCN2Cc3cc(C#CC)c(-c4c(O)cccc4Cl)c(F)c3OC[C@H]2C1,2.9
C[C@@H]1COc2cc(F)ccc2N1C(=O)c1ccc2c(c1)NC(=O)CO2,2.7
COC[C@H]1O[C@@H](c2c(O)cc(O)cc2O)[C@H](OC)[C@@H](OC)[C@@H]1OC,1.6
